,Movie Title,Percentage of Positive Reviews
1510,What's Eating Gilbert Grape (1993),84.35
1511,What's Love Got to Do with It (1993),84.44
1512,When Harry Met Sally... (1989),93.79
1513,When Night Is Falling (1995),100
1514,When We Were Kings (1996),90.91
1515,When a Man Loves a Woman (1994),87.18
1516,When the Cats Away (Chacun cherche son chat) (1996),87.5
1517,While You Were Sleeping (1995),89.51
1518,"White Balloon, The (1995)",60
1519,White Man's Burden (1995),30
1520,White Squall (1996),81.18
1521,"Whole Wide World, The (1996)",100
1522,Widows' Peak (1994),89.47
1523,"Wife, The (1995)",100
1524,Wild America (1997),77.78
1525,Wild Bill (1995),58.33
1526,"Wild Bunch, The (1969)",97.67
1527,Wild Reeds (1994),85.71
1528,Wild Things (1998),45.45
1529,William Shakespeare's Romeo and Juliet (1996),80.19
1530,Willy Wonka and the Chocolate Factory (1971),84.05
1531,Window to Paris (1994),100
1532,Wings of Courage (1995),100
1533,Wings of Desire (1987),91.23
1534,"Wings of the Dove, The (1997)",92
1535,Winnie the Pooh and the Blustery Day (1968),88
1536,"Winter Guest, The (1997)",77.78
1537,Wishmaster (1997),48.15
1538,With Honors (1994),69.57
1539,Withnail and I (1987),69.23
1540,Witness (1985),100
1541,"Wizard of Oz, The (1939)",93.9
1542,Wolf (1994),61.19
1543,"Women, The (1939)",86.67
1544,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",100
1545,Wonderland (1997),70
1546,"Wooden Man's Bride, The (Wu Kui) (1994)",66.67
1547,"World of Apu, The (Apur Sansar) (1959)",83.33
1548,"Wrong Trousers, The (1993)",97.46
1549,Wyatt Earp (1994),76
1550,Year of the Horse (1997),57.14
1551,You So Crazy (1994),100
1552,Young Frankenstein (1974),93
1553,Young Guns (1988),84.16
1554,Young Guns II (1990),63.64
1555,"Young Poisoner's Handbook, The (1995)",78.05
1556,'Til There Was You (1997),44.44
